i	med	n_cl	diploid_cl	power	arm
AMPL230191/chr1:881402-881665/1p	186	2	MM1S|OPM2	3	1p
AMPL230193/chr1:19444150-19444419/1p	101	2	MM1S|OPM2	1.6290322580645162	1p
AMPL230194/chr1:28862143-28862412/1p	243	2	MM1S|OPM2	3.9193548387096775	1p
AMPL230196/chr1:47501477-47501746/1p	237	2	MM1S|OPM2	3.8225806451612905	1p
AMPL230197/chr1:57161458-57161727/1p	296	2	MM1S|OPM2	4.774193548387097	1p
AMPL230198/chr1:66070530-66070770/1p	161	2	MM1S|OPM2	2.596774193548387	1p
AMPL230199/chr1:75622386-75622640/1p	8	2	MM1S|OPM2	0.12903225806451613	1p
AMPL230200/chr1:78444413-78444682/1p	165	2	MM1S|OPM2	2.661290322580645	1p
AMPL230201/chr1:85015942-85016208/1p	47	2	MM1S|OPM2	0.7580645161290323	1p
AMPL230202/chr1:94341052-94341297/1p	94	2	MM1S|OPM2	1.5161290322580645	1p
AMPL230203/chr1:103468087-103468356/1p	47	2	MM1S|OPM2	0.7580645161290323	1p
AMPL230204/chr1:112991460-112991725/1p	52	2	MM1S|OPM2	0.8387096774193549	1p
AMPL230205/chr1:115258503-115258768/1p	74	2	MM1S|OPM2	1.1935483870967742	1p
AMPL230206/chr1:118165785-118166054/1p	18	2	MM1S|OPM2	0.2903225806451613	1p
AMPL230207/chr1:118166061-118166325/1p	28	2	MM1S|OPM2	0.45161290322580644	1p
AMPL230222/chr2:271792-272061/2p	79	4	KMM1|MM1S|OPM2|RPMI8226	1.2741935483870968	2p
AMPL230223/chr2:7023267-7023536/2p	74	4	KMM1|MM1S|OPM2|RPMI8226	1.1935483870967742	2p
AMPL230224/chr2:11053507-11053769/2p	5	4	KMM1|MM1S|OPM2|RPMI8226	0.08064516129032258	2p
AMPL230225/chr2:18112479-18112748/2p	97	4	KMM1|MM1S|OPM2|RPMI8226	1.564516129032258	2p
AMPL230227/chr2:31560420-31560689/2p	12	4	KMM1|MM1S|OPM2|RPMI8226	0.1935483870967742	2p
AMPL230228/chr2:38178164-38178433/2p	125	4	KMM1|MM1S|OPM2|RPMI8226	2.0161290322580645	2p
AMPL230229/chr2:44571445-44571699/2p	48	4	KMM1|MM1S|OPM2|RPMI8226	0.7741935483870968	2p
AMPL230230/chr2:48906264-48906533/2p	128	4	KMM1|MM1S|OPM2|RPMI8226	2.064516129032258	2p
AMPL230231/chr2:55883087-55883356/2p	45	4	KMM1|MM1S|OPM2|RPMI8226	0.7258064516129032	2p
AMPL230232/chr2:63086112-63086355/2p	118	4	KMM1|MM1S|OPM2|RPMI8226	1.903225806451613	2p
AMPL230233/chr2:70315279-70315541/2p	151	4	KMM1|MM1S|OPM2|RPMI8226	2.435483870967742	2p
AMPL230234/chr2:75923181-75923425/2p	13	4	KMM1|MM1S|OPM2|RPMI8226	0.20967741935483872	2p
AMPL230235/chr2:85554475-85554744/2p	114	4	KMM1|MM1S|OPM2|RPMI8226	1.8387096774193548	2p
AMPL230237/chr3:1363270-1363539/3p	98	3	KMM1|MM1S|RPMI8226	1.5806451612903225	3p
AMPL230238/chr3:7620740-7621009/3p	24	3	KMM1|MM1S|RPMI8226	0.3870967741935484	3p
AMPL230239/chr3:16305448-16305701/3p	46	3	KMM1|MM1S|RPMI8226	0.7419354838709677	3p
AMPL230240/chr3:16419383-16419587/3p	53	3	KMM1|MM1S|RPMI8226	0.8548387096774194	3p
AMPL230241/chr3:23930597-23930847/3p	72	3	KMM1|MM1S|RPMI8226	1.1612903225806452	3p
AMPL230242/chr3:31712144-31712413/3p	108	3	KMM1|MM1S|RPMI8226	1.7419354838709677	3p
AMPL230243/chr3:40285818-40286037/3p	64	3	KMM1|MM1S|RPMI8226	1.032258064516129	3p
AMPL230244/chr3:46939699-46939968/3p	6	3	KMM1|MM1S|RPMI8226	0.0967741935483871	3p
AMPL230245/chr3:47058890-47059159/3p	48	3	KMM1|MM1S|RPMI8226	0.7741935483870968	3p
AMPL230247/chr3:47161644-47161906/3p	120	3	KMM1|MM1S|RPMI8226	1.935483870967742	3p
AMPL230248/chr3:47165154-47165423/3p	397	3	KMM1|MM1S|RPMI8226	6.403225806451613	3p
AMPL230249/chr3:47165484-47165747/3p	99	3	KMM1|MM1S|RPMI8226	1.596774193548387	3p
AMPL230251/chr3:62262419-62262688/3p	133	3	KMM1|MM1S|RPMI8226	2.1451612903225805	3p
AMPL230252/chr3:69150771-69151040/3p	259	3	KMM1|MM1S|RPMI8226	4.17741935483871	3p
AMPL230254/chr3:85984728-85984997/3p	42	3	KMM1|MM1S|RPMI8226	0.6774193548387096	3p
AMPL230255/chr3:93733315-93733584/3q	35	2	KMM1|MM1S	0.5645161290322581	3q
AMPL230256/chr3:102157090-102157359/3q	299	2	KMM1|MM1S	4.82258064516129	3q
AMPL230257/chr3:111637757-111638002/3q	96	2	KMM1|MM1S	1.5483870967741935	3q
AMPL230258/chr3:120495175-120495444/3q	329	2	KMM1|MM1S	5.306451612903226	3q
AMPL230259/chr3:129286226-129286435/3q	2	2	KMM1|MM1S	0.03225806451612903	3q
AMPL230260/chr3:138247899-138248155/3q	95	2	KMM1|MM1S	1.532258064516129	3q
AMPL230261/chr3:146177605-146177835/3q	40	2	KMM1|MM1S	0.6451612903225806	3q
AMPL230262/chr3:155481430-155481655/3q	280	2	KMM1|MM1S	4.516129032258065	3q
AMPL230263/chr3:164725656-164725858/3q	16	2	KMM1|MM1S	0.25806451612903225	3q
AMPL230264/chr3:173996519-173996773/3q	120	2	KMM1|MM1S	1.935483870967742	3q
AMPL230265/chr3:183211660-183211929/3q	106	2	KMM1|MM1S	1.7096774193548387	3q
AMPL230266/chr3:192078005-192078274/3q	98	2	KMM1|MM1S	1.5806451612903225	3q
AMPL230267/chr3:196674635-196674904/3q	2	2	KMM1|MM1S	0.03225806451612903	3q
AMPL230268/chr4:494021-494273/4p	333	2	KMM1|MM1S	5.370967741935484	4p
AMPL230269/chr4:1805878-1806138/4p	23	2	KMM1|MM1S	0.3709677419354839	4p
AMPL230271/chr4:4249663-4249932/4p	20	2	KMM1|MM1S	0.3225806451612903	4p
AMPL230272/chr4:8206833-8207102/4p	20	2	KMM1|MM1S	0.3225806451612903	4p
AMPL230273/chr4:11401268-11401517/4p	4	2	KMM1|MM1S	0.06451612903225806	4p
