chr	start	end	ID_amplicon	GC_content	mappability_score
chr1	881402	881665	AMPL230191	0.6212121212121212	1
chr1	9780646	9780901	AMPL230192	0.6484375	1
chr1	19444150	19444419	AMPL230193	0.43703703703703706	1
chr1	28862143	28862412	AMPL230194	0.45185185185185184	1
chr1	38304080	38304325	AMPL230195	0.44308943089430897	1
chr1	47501477	47501746	AMPL230196	0.41481481481481486	1
chr1	57161458	57161727	AMPL230197	0.3888888888888889	1
chr1	66070530	66070770	AMPL230198	0.3817427385892116	1
chr1	75622386	75622640	AMPL230199	0.39607843137254906	1
chr1	78444413	78444682	AMPL230200	0.5666666666666667	1
chr1	85015942	85016208	AMPL230201	0.28464419475655434	1
chr1	94341052	94341297	AMPL230202	0.3292682926829268	1
chr1	103468087	103468356	AMPL230203	0.3296296296296296	1
chr1	112991460	112991725	AMPL230204	0.37593984962406013	1
chr1	115258503	115258768	AMPL230205	0.42105263157894735	1
chr1	118165785	118166054	AMPL230206	0.5	1
chr1	118166061	118166325	AMPL230207	0.5018867924528302	1
chr1	144852010	144852279	AMPL230208	0.5037037037037037	0.5722107407407407
chr1	150808640	150808909	AMPL230209	0.44074074074074077	1
chr1	158532917	158533164	AMPL230210	0.532258064516129	1
chr1	165377313	165377582	AMPL230211	0.5185185185185186	1
chr1	167849167	167849436	AMPL230212	0.5259259259259259	1
chr1	173878589	173878858	AMPL230213	0.5222222222222221	1
chr1	182443213	182443482	AMPL230214	0.5074074074074074	1
chr1	196800797	196801066	AMPL230215	0.337037037037037	0.5
chr1	201046844	201047098	AMPL230216	0.607843137254902	1
chr1	209782099	209782368	AMPL230217	0.5407407407407407	1
chr1	222721050	222721311	AMPL230218	0.5381679389312977	1
chr1	229737925	229738193	AMPL230219	0.4684014869888476	1
chr1	236700614	236700844	AMPL230220	0.35497835497835495	1
chr1	248039482	248039736	AMPL230221	0.4549019607843138	1
chr2	271792	272061	AMPL230222	0.4407407407407407	1
chr2	7023267	7023536	AMPL230223	0.37037037037037035	1
chr2	11053507	11053769	AMPL230224	0.5931558935361216	1
chr2	18112479	18112748	AMPL230225	0.47777777777777775	1
chr2	25063944	25064213	AMPL230226	0.6592592592592592	1
chr2	31560420	31560689	AMPL230227	0.5740740740740741	1
chr2	38178164	38178433	AMPL230228	0.42592592592592593	1
chr2	44571445	44571699	AMPL230229	0.3058823529411765	1
chr2	48906264	48906533	AMPL230230	0.3222222222222222	0.9555555555555556
chr2	55883087	55883356	AMPL230231	0.32222222222222224	1
chr2	63086112	63086355	AMPL230232	0.3114754098360656	1
chr2	70315279	70315541	AMPL230233	0.6387832699619772	1
chr2	75923181	75923425	AMPL230234	0.28979591836734697	1
chr2	85554475	85554744	AMPL230235	0.5888888888888889	1
chr2	91635945	91636150	AMPL230236	0.674757281553398	0.7516169902912622
chr3	1363270	1363539	AMPL230237	0.4111111111111111	1
chr3	7620740	7621009	AMPL230238	0.44074074074074077	1
chr3	16305448	16305701	AMPL230239	0.35039370078740156	1
chr3	16419383	16419587	AMPL230240	0.5658536585365854	1
chr3	23930597	23930847	AMPL230241	0.33067729083665337	1
chr3	31712144	31712413	AMPL230242	0.4703703703703703	1
chr3	40285818	40286037	AMPL230243	0.5545454545454546	1
chr3	46939699	46939968	AMPL230244	0.6222222222222222	1
chr3	47058890	47059159	AMPL230245	0.4666666666666667	1
chr3	47125305	47125574	AMPL230246	0.44074074074074077	1
chr3	47161644	47161906	AMPL230247	0.4448669201520913	1
chr3	47165154	47165423	AMPL230248	0.3407407407407408	1
chr3	47165484	47165747	AMPL230249	0.5151515151515151	1
chr3	53856436	53856693	AMPL230250	0.6356589147286822	1
chr3	62262419	62262688	AMPL230251	0.3888888888888889	1
chr3	69150771	69151040	AMPL230252	0.36296296296296293	1
chr3	75718943	75719185	AMPL230253	0.6995884773662552	0.9917695473251029
chr3	85984728	85984997	AMPL230254	0.28888888888888886	1
chr3	93733315	93733584	AMPL230255	0.31851851851851853	1
chr3	102157090	102157359	AMPL230256	0.4111111111111111	1
chr3	111637757	111638002	AMPL230257	0.44715447154471544	1
chr3	120495175	120495444	AMPL230258	0.45185185185185184	1
chr3	129286226	129286435	AMPL230259	0.6	1
chr3	138247899	138248155	AMPL230260	0.4046692607003891	1
chr3	146177605	146177835	AMPL230261	0.5151515151515151	1
chr3	155481430	155481655	AMPL230262	0.3141592920353982	1
chr3	164725656	164725858	AMPL230263	0.2857142857142857	1
chr3	173996519	173996773	AMPL230264	0.3607843137254902	1
chr3	183211660	183211929	AMPL230265	0.45555555555555555	1
chr3	192078005	192078274	AMPL230266	0.38888888888888884	1
chr3	196674635	196674904	AMPL230267	0.6222222222222222	1
chr4	494021	494273	AMPL230268	0.43478260869565216	1
chr4	1805878	1806138	AMPL230269	0.6666666666666667	1
chr4	1807733	1807951	AMPL230270	0.6484018264840182	1
chr4	4249663	4249932	AMPL230271	0.6518518518518519	1
chr4	8206833	8207102	AMPL230272	0.6666666666666667	1
chr4	11401268	11401517	AMPL230273	0.6559999999999999	1
chr4	15690229	15690498	AMPL230274	0.36296296296296293	0.9629629629629629
chr4	17875793	17876062	AMPL230275	0.36296296296296293	1
chr4	20512472	20512741	AMPL230276	0.337037037037037	1
chr4	25013746	25014000	AMPL230277	0.5019607843137255	1
chr4	26416905	26417174	AMPL230278	0.34814814814814815	1
chr4	30725310	30725579	AMPL230279	0.4703703703703703	1
chr4	36121087	36121311	AMPL230280	0.28	1
chr4	40337659	40337928	AMPL230281	0.4444444444444444	1
chr4	42414781	42415038	AMPL230282	0.46899224806201556	1
chr4	48172037	48172296	AMPL230283	0.3192307692307692	1
chr4	55133238	55133494	AMPL230284	0.43190661478599224	1
chr4	66279819	66280088	AMPL230285	0.4703703703703703	1
chr4	75246545	75246814	AMPL230286	0.4	1
chr4	83799749	83800015	AMPL230287	0.36704119850187267	1
chr4	90169878	90170147	AMPL230288	0.5111111111111111	1
chr4	100125898	100126138	AMPL230289	0.37344398340248963	1
chr4	108614890	108615159	AMPL230290	0.4444444444444444	1
chr4	114824367	114824633	AMPL230291	0.4269662921348315	1
chr4	123328873	123329103	AMPL230292	0.3203463203463204	1
chr4	129792582	129792851	AMPL230293	0.47777777777777775	1
chr4	138449443	138449708	AMPL230294	0.3458646616541353	1
chr4	154479215	154479453	AMPL230295	0.38493723849372385	1
chr4	165889769	165890038	AMPL230296	0.33333333333333337	0.5592592592592592
chr4	177060842	177061111	AMPL230297	0.3111111111111111	1
chr4	185309994	185310259	AMPL230298	0.537593984962406	1
chr4	190878351	190878620	AMPL230299	0.3222222222222222	0.8111107407407407
chr5	181518	181787	AMPL230300	0.5518518518518518	1
chr5	5242032	5242295	AMPL230301	0.4545454545454546	1
chr5	9154411	9154679	AMPL230302	0.5613382899628253	1
chr5	10282259	10282448	AMPL230303	0.3894736842105263	1
chr5	13718773	13719042	AMPL230304	0.4111111111111111	1
