chr	start	end	ID_amplicon	GC_content	mappability_score	tot_reads	GC_content_cat	mappability_cat	median_tot_reads_GCcat	median_overall	corr_fact	tot_reads_GCcorr	ampl_median	cov_quality
chr1	881402	881665	AMPL230191	0.6212121212121212	1	7565754	0.65	1	891094	1507632	1.6918888467434412	12800414.809804577	351	ok
chr1	9780646	9780901	AMPL230192	0.6484375	1	116074	0.65	1	891094	1507632	1.6918888467434412	196384.30599689818	4	low_cov_m5
chr1	19444150	19444419	AMPL230193	0.43703703703703706	1	2337076	0.45	1	2334349	1507632	0.6458468720829662	1509393.2244201703	112	ok
chr1	28862143	28862412	AMPL230194	0.45185185185185184	1	6930299	0.5	1	2148899.5	1507632	0.7015832988001532	4862182.034091403	348	ok
chr1	38304080	38304325	AMPL230195	0.44308943089430897	1	10909361	0.45	1	2334349	1507632	0.6458468720829662	7045776.6782739	540	high_cov_M500
chr1	47501477	47501746	AMPL230196	0.41481481481481486	1	5496938	0.45	1	2334349	1507632	0.6458468720829662	3550180.213333996	293	ok
chr1	57161458	57161727	AMPL230197	0.3888888888888889	1	5569563	0.4	1	1837577	1507632	0.8204456194216623	4569523.565442972	290	ok
chr1	66070530	66070770	AMPL230198	0.3817427385892116	1	3705118	0.4	1	1837577	1507632	0.8204456194216623	3039847.8325403505	187	ok
chr1	75622386	75622640	AMPL230199	0.39607843137254906	1	472963	0.4	1	1837577	1507632	0.8204456194216623	388040.42149852763	17	ok
chr1	78444413	78444682	AMPL230200	0.5666666666666667	1	4143858	0.6	1	1481156	1507632	1.017875227187413	4217930.403182379	217	ok
chr1	85015942	85016208	AMPL230201	0.28464419475655434	1	1123480	0.3	1	1076384.5	1507632	1.4006444723052032	1573596.0517454497	46	ok
chr1	94341052	94341297	AMPL230202	0.3292682926829268	1	2524335	0.35	1	1485893	1507632	1.0146302593793766	2561266.6758104386	123	ok
chr1	103468087	103468356	AMPL230203	0.3296296296296296	1	1875134	0.35	1	1485893	1507632	1.0146302593793766	1902567.696791088	77	ok
chr1	112991460	112991725	AMPL230204	0.37593984962406013	1	1660007	0.4	1	1837577	1507632	0.8204456194216623	1361945.4713592953	74	ok
chr1	115258503	115258768	AMPL230205	0.42105263157894735	1	3972680	0.45	1	2334349	1507632	0.6458468720829662	2565742.951786558	164	ok
chr1	118165785	118166054	AMPL230206	0.5	1	297005	0.5	1	2148899.5	1507632	0.7015832988001532	208373.74766013952	11	ok
chr1	118166061	118166325	AMPL230207	0.5018867924528302	1	774583	0.55	1	1327235	1507632	1.135919411407927	879863.8654465863	36	ok
chr1	144852010	144852279	AMPL230208	0.5037037037037037	0.5722107407407407	478245	0.55	0.6	1327235	1507632	1.135919411407927	543247.778908784	20	ok
